OBX,Siste
22.07.19 09:08:01,800.28
22.07.19 09:08:01,800.29
22.07.19 09:08:01,800.28
22.07.19 09:08:00,800.29
22.07.19 09:07:59,800.28
22.07.19 09:07:59,800.27
22.07.19 09:07:58,800.28
22.07.19 09:07:56,800.27
22.07.19 09:07:55,800.27
22.07.19 09:07:55,800.28
22.07.19 09:07:53,800.28
22.07.19 09:07:53,800.31
22.07.19 09:07:53,800.31
22.07.19 09:07:53,800.31
22.07.19 09:07:53,800.27
22.07.19 09:07:53,800.23
22.07.19 09:07:53,800.24
22.07.19 09:07:53,800.26
22.07.19 09:07:52,800.27
22.07.19 09:07:51,800.24
22.07.19 09:07:51,800.20
22.07.19 09:07:51,800.21
22.07.19 09:07:51,800.19
22.07.19 09:07:50,800.17
22.07.19 09:07:50,800.15
22.07.19 09:07:50,800.13
22.07.19 09:07:50,800.12
22.07.19 09:07:49,800.12
22.07.19 09:07:49,800.11
22.07.19 09:07:49,800.12
22.07.19 09:07:49,800.13
22.07.19 09:07:49,800.11
22.07.19 09:07:49,800.10
22.07.19 09:07:49,800.06
22.07.19 09:07:49,800.05
22.07.19 09:07:48,800.05
22.07.19 09:07:48,800.05
22.07.19 09:07:47,800.04
22.07.19 09:07:47,800.05
22.07.19 09:07:46,800.04
22.07.19 09:07:46,800.11
22.07.19 09:07:45,800.14
22.07.19 09:07:44,800.14
22.07.19 09:07:43,800.15
22.07.19 09:07:43,800.16
22.07.19 09:07:42,800.17
22.07.19 09:07:41,800.16
22.07.19 09:07:41,800.16
22.07.19 09:07:40,800.17
22.07.19 09:07:40,800.16
22.07.19 09:07:39,800.20
22.07.19 09:07:39,800.20
22.07.19 09:07:39,800.25
22.07.19 09:07:39,800.23
22.07.19 09:07:39,800.22
22.07.19 09:07:39,800.22
22.07.19 09:07:39,800.21
22.07.19 09:07:39,800.20
22.07.19 09:07:39,800.23
22.07.19 09:07:38,800.27
22.07.19 09:07:38,800.23
22.07.19 09:07:38,800.22
22.07.19 09:07:38,800.21
22.07.19 09:07:37,800.20
22.07.19 09:07:37,800.15
22.07.19 09:07:36,800.12
22.07.19 09:07:36,800.08
22.07.19 09:07:35,800.06
22.07.19 09:07:35,800.07
22.07.19 09:07:35,800.08
22.07.19 09:07:35,800.07
22.07.19 09:07:35,800.06
22.07.19 09:07:35,800.07
22.07.19 09:07:35,800.08
22.07.19 09:07:35,800.06
22.07.19 09:07:35,800.06
22.07.19 09:07:35,800.02
22.07.19 09:07:35,800.01
22.07.19 09:07:35,800.00
22.07.19 09:07:34,799.95
22.07.19 09:07:34,799.94
22.07.19 09:07:34,799.91
22.07.19 09:07:34,799.88
22.07.19 09:07:34,799.87
22.07.19 09:07:33,799.85
22.07.19 09:07:32,799.83
22.07.19 09:07:32,799.81
22.07.19 09:07:31,799.82
22.07.19 09:07:31,799.84
22.07.19 09:07:31,799.83
22.07.19 09:07:31,799.81
22.07.19 09:07:31,799.83
22.07.19 09:07:31,799.84
22.07.19 09:07:31,799.85
22.07.19 09:07:30,799.83
22.07.19 09:07:30,799.83
22.07.19 09:07:30,799.84
22.07.19 09:07:29,799.83
22.07.19 09:07:28,799.82
22.07.19 09:07:28,799.81
22.07.19 09:07:28,799.82
22.07.19 09:07:27,799.81
22.07.19 09:07:27,799.78
22.07.19 09:07:26,799.80
22.07.19 09:07:25,799.75
22.07.19 09:07:24,799.75
22.07.19 09:07:24,799.78
22.07.19 09:07:24,799.77
22.07.19 09:07:22,799.76
22.07.19 09:07:20,799.80
22.07.19 09:07:19,799.81
22.07.19 09:07:18,799.81
22.07.19 09:07:18,799.80
22.07.19 09:07:17,799.79
22.07.19 09:07:17,799.78
22.07.19 09:07:17,799.77
22.07.19 09:07:15,799.77
22.07.19 09:07:14,799.78
22.07.19 09:07:14,799.74
22.07.19 09:07:13,799.77
22.07.19 09:07:13,799.77
22.07.19 09:07:12,799.80
22.07.19 09:07:12,799.80
22.07.19 09:07:11,799.81
22.07.19 09:07:11,799.82
22.07.19 09:07:11,799.80
22.07.19 09:07:11,799.82
22.07.19 09:07:10,799.83
22.07.19 09:07:09,799.79
22.07.19 09:07:09,799.78
22.07.19 09:07:09,799.77
22.07.19 09:07:09,799.76
22.07.19 09:07:09,799.75
22.07.19 09:07:09,799.76
22.07.19 09:07:09,799.75
22.07.19 09:07:09,799.72
22.07.19 09:07:09,799.71
22.07.19 09:07:09,799.70
22.07.19 09:07:08,799.69
22.07.19 09:07:08,799.70
22.07.19 09:07:08,799.72
22.07.19 09:07:07,799.74
22.07.19 09:07:07,799.73
22.07.19 09:07:06,799.73
22.07.19 09:07:06,799.71
22.07.19 09:07:06,799.72
22.07.19 09:07:06,799.70
22.07.19 09:07:06,799.70
22.07.19 09:07:05,799.65
22.07.19 09:07:03,799.66
22.07.19 09:07:03,799.65
22.07.19 09:07:03,799.65
22.07.19 09:07:02,799.66
22.07.19 09:07:02,799.65
22.07.19 09:07:00,799.62
22.07.19 09:07:00,799.64
22.07.19 09:07:00,799.63
22.07.19 09:06:59,799.62
22.07.19 09:06:58,799.60
22.07.19 09:06:58,799.61
22.07.19 09:06:58,799.56
22.07.19 09:06:58,799.55
22.07.19 09:06:58,799.57
22.07.19 09:06:58,799.64
22.07.19 09:06:57,799.65
22.07.19 09:06:56,799.66
22.07.19 09:06:55,799.65
22.07.19 09:06:55,799.67
22.07.19 09:06:55,799.66
22.07.19 09:06:55,799.63
22.07.19 09:06:55,799.59
22.07.19 09:06:54,799.61
22.07.19 09:06:54,799.59
22.07.19 09:06:54,799.62
22.07.19 09:06:54,799.66
22.07.19 09:06:54,799.67
22.07.19 09:06:54,799.72
22.07.19 09:06:54,799.74
22.07.19 09:06:54,799.80
22.07.19 09:06:54,799.80
22.07.19 09:06:54,799.78
22.07.19 09:06:54,799.80
22.07.19 09:06:53,799.79
22.07.19 09:06:53,799.80
22.07.19 09:06:53,799.80
22.07.19 09:06:53,799.81
22.07.19 09:06:53,799.80
22.07.19 09:06:53,799.79
22.07.19 09:06:53,799.77
22.07.19 09:06:53,799.78
22.07.19 09:06:53,799.76
22.07.19 09:06:53,799.77
22.07.19 09:06:53,799.78
22.07.19 09:06:52,799.77
22.07.19 09:06:52,799.78
22.07.19 09:06:52,799.80
22.07.19 09:06:52,799.80
